127.0.0.1 - - [22/Nov/2014:14:44:08 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:44:09 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-653046834 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-653046292 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-653046161 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:14:56:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-653046039 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651784839 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651784235 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651784101 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:17:03 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651783972 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651715755 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651715158 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651715023 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:18:12 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-651714883 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:26:26 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:26:26 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 500 3150
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/cfcf0ee0-33c3-49c8-a0ab-219b85971d87 HTTP/1.1" 400 67
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650946627 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "GET /com.AppHub.jersy/rest/AppService/480c646d-089d-4be2-82dd-541ac26740e0 HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/480c646d-089d-4be2-82dd-541ac26740e0 HTTP/1.1" 400 67
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650946002 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/f0034e3a-4cfd-4f3b-97f0-31fd290252a7 HTTP/1.1" 400 67
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650945841 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:31:01 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:31:02 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:31:02 -0500] "PUT /com.AppHub.jersy/rest/AppService/update HTTP/1.1" 204 -
127.0.0.1 - - [22/Nov/2014:15:31:02 -0500] "DELETE /com.AppHub.jersy/rest/PlatformService/remove/-650945704 HTTP/1.1" 201 38
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/PlatformService/create HTTP/1.1" 200 66
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "POST /com.AppHub.jersy/rest/AppService/create HTTP/1.1" 200 300
127.0.0.1 - - [22/Nov/2014:15:39:16 -0500] "DELETE /com.AppHub.jersy/rest/AppService/remove/306181fb-f840-45da-89d8-fd4b495d232b HTTP/1.1" 201 59
